Message,Label
"Dear user, your account will be suspended. Click here to verify now.",scam
"Your OTP for login is 347821.",safe
"Get rich quick! Invest ₹5000 and earn ₹50000 in a week.",scam
"Let’s meet tomorrow at 2 PM for the project discussion.",safe
"Congratulations! You’ve won a free iPhone. Claim now!",scam
"Reminder: Your electricity bill is due on 10th Aug.",safe
"I run a trading firm. I can help you earn daily profit.",scam
"Please pay ₹7000 to deposit into your new trading account.",scam
"Don't forget to submit your assignment before midnight.",safe
"Send ₹5000 more to activate your account. Quick action needed.",scam
"Zoom link for the team meeting is shared in the group.",safe
"Exclusive offer! Invest now, limited slots available.",scam
"I’ve transferred the payment. Please check.",safe
"We need ₹5000 more to release your funds.",scam
"Happy birthday! Hope you have a great year ahead.",safe
"Congratulations! You've won a free iPhone. Click here to claim.",scam
"Your account will be deactivated. Click this link to verify now.",scam
"Invest ₹5000 today and earn ₹40000 in a week.",scam
"Send ₹7000 to activate your trading account.",scam
"Urgent! Pay ₹2000 to avoid penalty.",scam
"Click here to unlock your bank account.",scam
"Win a free vacation! Just fill this form.",scam
"Transfer ₹10000 now to receive a cash prize.",scam
"I can help you earn money daily. Contact me.",scam
"Get rich quick! No experience needed. Limited time.",scam
"You have pending dues. Clear them immediately.",scam
"Final notice! Pay ₹5000 or face legal action.",scam
"Your SIM card will be blocked. Verify here.",scam
"You’ve been selected for a reward. Click now.",scam
"Upgrade your credit score instantly. Apply now.",scam
"Confirm your payment by clicking the link below.",scam
"Send your bank details to receive the funds.",scam
"Pay ₹3000 to release your lottery winnings.",scam
"I can multiply your money. Trust me.",scam
"Immediate payment required to avoid suspension.",scam
"Team meeting is scheduled for 10 AM tomorrow.",safe
"Don't forget to submit your assignment by 5 PM.",safe
"Happy Birthday! Wishing you a wonderful year ahead.",safe
"Let's catch up over coffee this weekend.",safe
"The OTP for login is 839201.",safe
"Your appointment is confirmed for 4 PM today.",safe
"Thank you for your purchase. Invoice attached.",safe
"Please check the report and share feedback.",safe
"The Zoom link is shared in the group chat.",safe
"Reminder: Your electricity bill is due soon.",safe
"I've sent the updated document for your review.",safe
"Let's finalize the presentation today.",safe
"Your order has been shipped and will arrive soon.",safe
"Congratulations on your promotion!",safe
"Don't forget to bring your ID card tomorrow.",safe
"Let me know your availability for the meeting.",safe
"Your subscription has been renewed successfully.",safe
"Please approve the request by EOD.",safe
"Join us for the farewell party this Friday.",safe
"The bus will leave at 8 AM sharp.",safe
"Congratulations! You've won a free iPhone. Click here to claim.",scam
"Your account will be deactivated. Click this link to verify now.",scam
"Invest ₹5000 today and earn ₹40000 in a week.",scam
"Send ₹7000 to activate your trading account.",scam
"Urgent! Pay ₹2000 to avoid penalty.",scam
"Click here to unlock your bank account.",scam
"Win a free vacation! Just fill this form.",scam
"Transfer ₹10000 now to receive a cash prize.",scam
"I can help you earn money daily. Contact me.",scam
"Get rich quick! No experience needed. Limited time.",scam
"You have pending dues. Clear them immediately.",scam
"Final notice! Pay ₹5000 or face legal action.",scam
"Your SIM card will be blocked. Verify here.",scam
"You’ve been selected for a reward. Click now.",scam
"Upgrade your credit score instantly. Apply now.",scam
"Confirm your payment by clicking the link below.",scam
"Send your bank details to receive the funds.",scam
"Pay ₹3000 to release your lottery winnings.",scam
"I can multiply your money. Trust me.",scam
"Immediate payment required to avoid suspension.",scam
